epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.1855,1.14293,2.02534,1.95801,1.17393,0.80294,0.66703,0.7541,0.4869,0.80187,0.65645,0.72225,0.33875,1.34654,2.21625,1.68211,1.30699,0.0702143,0.00330952,0.00330952
2,168.82,1.03424,1.64148,0.92881,1.0601,0.78705,0.73145,0.77533,0.48451,0.76622,0.7121,0.73362,0.33372,1.34611,2.25306,1.28358,1.3187,0.0401963,0.00662484,0.00662484
3,236.31,1.04256,1.58719,0.86942,1.0708,0.66788,0.67258,0.66957,0.38045,0.65827,0.6629,0.6468,0.275,1.52631,2.44408,1.79097,1.54909,0.0101064,0.00986828,0.00986828
4,302.976,1.10315,1.62667,0.8919,1.11535,0.57951,0.69677,0.60901,0.3343,0.58832,0.67661,0.57416,0.23475,1.54783,2.74375,2.16539,1.59705,0.00975773,0.00975773,0.00975773
5,369.978,1.02762,1.51297,0.78583,1.07238,0.7648,0.71371,0.73827,0.4523,0.7826,0.68065,0.71178,0.32553,1.45926,2.35389,1.35153,1.45957,0.00957205,0.00957205,0.00957205
6,438.647,0.96427,1.42573,0.70471,1.03704,0.79038,0.72903,0.75175,0.46708,0.78338,0.72258,0.72995,0.34374,1.52904,2.38297,1.37834,1.52993,0.00933683,0.00933683,0.00933683
7,504.474,0.90491,1.3384,0.638,1.0067,0.79673,0.75861,0.79396,0.49218,0.79924,0.75484,0.77579,0.36581,1.47008,2.30856,1.13628,1.4557,0.00905463,0.00905463,0.00905463
8,571.56,0.85959,1.27124,0.5952,0.98302,0.79935,0.76462,0.78888,0.49801,0.81571,0.73535,0.77411,0.38411,1.44962,2.17809,1.10609,1.44638,0.00872857,0.00872857,0.00872857
9,637.878,0.81412,1.21778,0.55841,0.96277,0.83876,0.78029,0.81061,0.5224,0.82974,0.76244,0.78815,0.38667,1.38608,2.2464,1.03866,1.39766,0.0083622,0.0083622,0.0083622
10,705.214,0.77042,1.17162,0.52387,0.94209,0.7987,0.78394,0.80855,0.53074,0.82191,0.77419,0.80392,0.40057,1.46019,2.25398,1.04884,1.47072,0.00795954,0.00795954,0.00795954
11,771.856,0.73132,1.13425,0.48996,0.92492,0.86887,0.76946,0.82561,0.53617,0.84353,0.78065,0.81003,0.40192,1.35165,2.24224,1.00661,1.3656,0.007525,0.007525,0.007525
12,838.286,0.6966,1.08859,0.46599,0.90829,0.86499,0.7647,0.81721,0.54795,0.85942,0.76371,0.81266,0.40486,1.35705,2.53025,1.01325,1.36151,0.00706335,0.00706335,0.00706335
13,903.618,0.65773,1.04546,0.4434,0.89463,0.84371,0.78306,0.80931,0.52731,0.85887,0.75581,0.79764,0.39442,1.38048,2.35593,1.0345,1.405,0.00657963,0.00657963,0.00657963
14,971.473,0.61979,1.00572,0.42122,0.88159,0.865,0.74407,0.79563,0.52896,0.86486,0.72823,0.77563,0.38995,1.35298,2.46701,1.16911,1.39503,0.00607916,0.00607916,0.00607916
15,1037.98,0.58037,0.96947,0.39909,0.86731,0.86938,0.76219,0.8161,0.5474,0.86662,0.75977,0.80576,0.41003,1.36992,2.37407,0.96364,1.44274,0.00556742,0.00556742,0.00556742
16,1104.88,0.5489,0.92817,0.38039,0.85671,0.89008,0.75403,0.81672,0.55452,0.88342,0.74839,0.79889,0.41327,1.31093,2.53524,1.09445,1.35986,0.00505,0.00505,0.00505
17,1170.74,0.51583,0.89951,0.36452,0.84674,0.87325,0.76371,0.81021,0.54113,0.86864,0.75968,0.79677,0.40827,1.3919,2.48493,0.98899,1.4552,0.00453258,0.00453258,0.00453258
18,1237.74,0.48621,0.85822,0.35034,0.83845,0.87641,0.74919,0.81346,0.55765,0.88809,0.73871,0.80259,0.41673,1.35417,2.53281,1.10308,1.40734,0.00402084,0.00402084,0.00402084
19,1303.79,0.45654,0.82297,0.3313,0.83014,0.84388,0.77155,0.82306,0.5653,0.85468,0.77661,0.82195,0.43039,1.38042,2.54151,1.03828,1.44803,0.00352037,0.00352037,0.00352037
20,1369.56,0.42448,0.78293,0.31456,0.82077,0.86673,0.76049,0.81928,0.56159,0.86857,0.7621,0.81322,0.41952,1.33033,2.61343,1.06642,1.41404,0.00303665,0.00303665,0.00303665
21,1441.21,0.39703,0.75145,0.29885,0.81451,0.85872,0.775,0.82707,0.56526,0.85558,0.75009,0.80466,0.41828,1.34097,2.65961,1.03479,1.42574,0.002575,0.002575,0.002575
22,1509.15,0.36856,0.71911,0.28507,0.80991,0.87636,0.75806,0.81866,0.5624,0.87037,0.74919,0.80945,0.42004,1.35769,2.71233,1.0562,1.44823,0.00214046,0.00214046,0.00214046
23,1578.19,0.34251,0.69348,0.27299,0.80444,0.89011,0.74919,0.82669,0.56949,0.88867,0.73387,0.80318,0.4212,1.34484,2.78711,1.08644,1.44712,0.0017378,0.0017378,0.0017378
24,1644.02,0.32186,0.67357,0.26033,0.80131,0.89197,0.75245,0.82368,0.56916,0.87423,0.73306,0.79601,0.41699,1.33492,2.83418,1.09839,1.42962,0.00137143,0.00137143,0.00137143
